Month,Mean absolute error,Mean squared error
JAN,0.1084448106,0.04394468936
FEB,0.09266666154,0.01524509751
MAR,0.361752114,0.4548496832
APR,0.19365948,0.0547662264
MAY,0.1893370143,0.04711582042
JUN,0.04454815298,0.00292532926
JUL,0.06683874181,0.0170952532
AUG,0.05394025976,0.01323746931
SEP,0.04724508253,0.004100733463
OCT,0.1410260587,0.184832035
NOV,0.1068358944,0.01831703241
DEC,0.1261856652,0.03389534095
